chunk_batch_mib,avg_mean_raw_gbs,std_mean_across_outer_runs,n_outer_runs
0.001953125,1.6966432,0.04383059922981254,10
0.00390625,1.6908929000000001,0.036365929886975845,10
0.0078125,2.7968873,0.08427911026141371,10
0.015625,4.1999858,0.06911648364544548,10
0.03125,4.9968769,0.13805491256457034,10
0.0625,4.953099900000001,0.12176607156570549,10
0.125,5.1610461999999995,0.11692740217549993,10
0.25,5.1183610999999996,0.15710403632020395,10
0.5,5.1772973,0.095133617991924,10
1.0,4.379583,0.13206397595441735,10
2.0,3.7656926,0.09564413406093777,10
4.0,3.57817,0.04264284348972147,10
8.0,3.4691647999999997,0.05536556100200426,10
