chunk_batch_mib,avg_mean_raw_gbs,std_mean_across_outer_runs,n_outer_runs
0.001953125,0.5816788900000001,0.00500146940240792,10
0.00390625,0.58640718,0.009907312127783882,10
0.0078125,1.1842487,0.019477316687481466,10
0.015625,2.1786471,0.05292957776234387,10
0.03125,3.3584881,0.095040956997438,10
0.0625,4.3582472,0.07623445426635478,10
0.125,5.150255,0.09027050559414336,10
0.25,5.2648146,0.09387035865395538,10
0.5,5.471021,0.17026336633319303,10
1.0,5.321971700000001,0.11827274992533164,10
2.0,5.02226,0.12083126212937537,10
4.0,5.2424056,0.08129484514093673,10
